Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,1uF,
C2,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,0.01uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,10,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470R,
RV1,Potentiometer_Vishay_T93YA_Vertical,1,50K,
U1,DIP-8_W7.62mm,1,NE555P,
U2,N16,1,4017,
