Designator,Mid X,Mid Y,Rotation,Layer
C1,97.15,-105.25,0.0,top
C2,113.25,-107.95,0.0,top
D1,99.645,-48.85,0.0,top
D10,105.095,-95.7,0.0,top
D2,99.53,-59.35,0.0,top
D3,99.48,-69.55,0.0,top
D4,99.395,-80.05,0.0,top
D5,99.32,-91.0,0.0,top
D6,105.63,-53.75,0.0,top
D7,105.38,-64.05,0.0,top
D8,105.245,-74.15,0.0,top
D9,105.295,-84.95,0.0,top
J1,95.85,-115.195,0.0,top
J2,98.7,-97.85,0.0,top
R1,106.35,-103.49,90.0,top
R2,102.7,-103.51,270.0,top
RV1,136.8,-115.64,90.0,top
U1,103.26,-114.91,0.0,top
U2,121.15,-115.55,90.0,top
