Reference,Component,Price_EUR,Price_USD,Link
1,PCB,3.00,3.48,
2,Rubycon 50YXF1MEFC5X11,0.54,0.63,https://www.lcsc.com/product-detail/C2927584.html
3,CL05B103KB5NNNC,0.59,0.68,https://www.lcsc.com/product-detail/C15195.html
4,TJ-L3FYTGHKMCGSFLC7K-A5,0.59,0.68,https://www.lcsc.com/product-detail/C330747.html
5,C5305,0.50,0.58,https://www.lcsc.com/product-detail/C5305.html
6,C52016392,0.65,0.75,https://www.lcsc.com/product-detail/C52016392.html
7,ST-4ETG 1K OHM (102),0.79,0.92,https://www.lcsc.com/product-detail/C132881.html
8,MFR-25FTE52-470R,0.90,1.04,https://www.lcsc.com/product-detail/C173020.html
9,T93YA503KT20,3.43,3.98,https://www.lcsc.com/product-detail/C7061697.html
10,NE555P,1.35,1.57,https://www.lcsc.com/product-detail/C46749.html
11,CD4017BED,0.60,0.70,https://www.lcsc.com/product-detail/C51898328.html
